"ID","SecurityComponentID","SecurityControlID"
1,1,1
2,1,2
3,2,3
4,15,4
5,16,5
6,16,6
7,15,7
8,15,8
9,15,9
10,15,10
11,15,11
12,15,12
13,15,13
14,15,14
15,15,15
16,15,16
18,17,18
20,17,20
21,17,21
22,17,22
23,17,23
24,17,24
25,17,25
26,17,26
28,17,28
29,17,29
30,17,30
31,17,31
34,18,34
36,37,36
37,37,37
38,37,38
39,37,39
40,37,40
41,37,41
42,37,42
43,37,23
44,37,43
45,37,26
46,37,44
47,37,28
48,37,45
49,37,46
50,37,47
51,37,48
52,37,49
53,37,50
54,37,51
55,37,52
56,37,53
57,37,54
58,37,55
59,37,56
60,37,57
61,37,58
62,37,59
63,37,60
64,37,61
65,37,62
66,37,63
67,37,64
68,37,65
69,37,18
70,37,66
71,37,67
72,37,68
73,37,69
74,37,70
75,37,71
76,37,72
77,37,73
78,37,74
79,37,75
80,37,76
81,37,77
82,37,78
83,37,79
84,37,80
85,37,81
86,37,82
87,37,83
88,37,84
89,37,85
90,37,86
91,37,87
92,37,88
93,37,89
94,37,90
95,38,62
96,38,45
97,38,89
98,38,85
99,38,75
100,38,82
101,38,77
102,38,87
103,38,71
104,38,59
105,38,68
106,38,90
107,38,23
108,38,88
109,38,83
110,38,49
111,38,48
112,38,39
113,38,51
114,38,78
115,38,56
116,38,52
117,38,36
118,38,81
119,38,84
120,38,46
121,38,55
122,38,64
123,38,26
124,38,28
125,38,67
126,38,74
127,38,38
128,38,60
129,38,70
130,38,72
131,38,50
132,38,76
133,38,37
134,38,42
135,38,41
136,38,66
137,38,73
138,38,44
139,38,53
140,38,86
141,38,54
142,38,65
143,38,58
144,38,79
145,38,69
146,38,40
147,38,43
148,38,57
149,38,18
150,38,63
151,38,80
152,38,61
153,38,47
